Blacksburg,Blacksburg,37.23,-80.4277,United States,US,USA,Virginia,,93560,1840006446
Portsmouth,Portsmouth,36.8468,-76.354,United States,US,USA,Virginia,,95252,1840003872
Newport News,Newport News,37.1052,-76.5185,United States,US,USA,Virginia,,181825,1840003862
Salem,Salem,37.2864,-80.0554,United States,US,USA,Virginia,,25549,1840001719
Leesburg,Leesburg,39.1057,-77.5543,United States,US,USA,Virginia,,52607,1840005872
Pulaski,Pulaski,37.0531,-80.7624,United States,US,USA,Virginia,,15625,1840006469
Staunton,Staunton,38.1593,-79.0608,United States,US,USA,Virginia,,58077,1840001670
Wytheville,Wytheville,36.953,-81.0881,United States,US,USA,Virginia,,7114,1840006504
Bristol,Bristol,36.618,-82.1607,United States,US,USA,Virginia,,16960,1840003879
Ashland,Ashland,37.7597,-77.4715,United States,US,USA,Virginia,,7649,1840006341
Hampton,Hampton,37.0551,-76.3629,United States,US,USA,Virginia,,135410,1840003866
Roanoke,Roanoke,37.2784,-79.9581,United States,US,USA,Virginia,,215793,1840003858
Williamsburg,Williamsburg,37.2691,-76.7075,United States,US,USA,Virginia,,81840,1840001720
Front Royal,Front Royal,38.926,-78.1837,United States,US,USA,Virginia,,19557,1840006045
Alexandria,Alexandria,38.8184,-77.0861,United States,US,USA,Virginia,,155810,1840003837
Norton,Norton,36.9317,-82.626,United States,US,USA,Virginia,,10259,1840003870
Vienna,Vienna,38.8996,-77.2597,United States,US,USA,Virginia,,16468,1840003829
Lynchburg,Lynchburg,37.4004,-79.1911,United States,US,USA,Virginia,,123795,1840003855
Emporia,Emporia,36.6953,-77.5356,United States,US,USA,Virginia,,6393,1840003875
Woodstock,Woodstock,38.8753,-78.5158,United States,US,USA,Virginia,,7225,1840006006
Richlands,Richlands,37.0877,-81.8082,United States,US,USA,Virginia,,8938,1840006454
Poquoson,Poquoson,37.1318,-76.3569,United States,US,USA,Virginia,,12017,1840003863
Bedford,Bedford,37.3359,-79.5181,United States,US,USA,Virginia,,7259,1840001713
Abingdon,Abingdon,36.7089,-81.9711,United States,US,USA,Virginia,,8083,1840006529
Franklin,Franklin,36.6831,-76.9386,United States,US,USA,Virginia,,8913,1840003876
Hopewell,Hopewell,37.2914,-77.2985,United States,US,USA,Virginia,,22735,1840003859
Buena Vista,Buena Vista,37.7316,-79.3565,United States,US,USA,Virginia,,6341,1840003851
South Boston,South Boston,36.7131,-78.9135,United States,US,USA,Virginia,,8109,1840037461
Christiansburg,Christiansburg,37.1411,-80.4028,United States,US,USA,Virginia,,22088,1840006447
Colonial Heights,Colonial Heights,37.265,-77.3969,United States,US,USA,Virginia,,17772,1840003860
Newark,Newark,39.6777,-75.7573,United States,US,USA,Delaware,,33398,1840005578
Milford,Milford,38.9095,-75.4232,United States,US,USA,Delaware,,20683,1840006069
Middletown,Middletown,39.4451,-75.7165,United States,US,USA,Delaware,,32540,1840005581
Millsboro,Millsboro,38.5865,-75.3018,United States,US,USA,Delaware,,10403,1840006079
Seaford,Seaford,38.6539,-75.6118,United States,US,USA,Delaware,,7736,1840006071
Lewes,Lewes,38.7784,-75.1455,United States,US,USA,Delaware,,27008,1840006068
Elsmere,Elsmere,39.7385,-75.5946,United States,US,USA,Delaware,,6106,1840005574
Georgetown,Georgetown,38.6899,-75.3872,United States,US,USA,Delaware,,10136,1840006065
Wilmington,Wilmington,39.7349,-75.5286,United States,US,USA,Delaware,,71442,1840005579
Ocean View,Ocean View,38.5357,-75.0991,United States,US,USA,Delaware,,13612,1840006082
Dover,Dover,39.16,-75.5204,United States,US,USA,Delaware,,116114,1840005810
New Castle,New Castle,39.6689,-75.5684,United States,US,USA,Delaware,,5357,1840005577
Smyrna,Smyrna,39.2922,-75.6079,United States,US,USA,Delaware,,11371,1840005820
Washington,Washington,38.9047,-77.0163,United States,US,USA,District of Columbia,primary,5191844,1840006060
Kaukauna,Kaukauna,44.2777,-88.2645,United States,US,USA,Wisconsin,,15900,1840002403
Oconomowoc,Oconomowoc,43.0993,-88.4952,United States,US,USA,Wisconsin,,16526,1840003027
Verona,Verona,42.9879,-89.5371,United States,US,USA,Wisconsin,,12969,1840002903
Platteville,Platteville,42.7334,-90.4716,United States,US,USA,Wisconsin,,12550,1840002981
Rice Lake,Rice Lake,45.4862,-91.7448,United States,US,USA,Wisconsin,,9468,1840002075
North Fond du Lac,North Fond du Lac,43.8107,-88.4861,United States,US,USA,Wisconsin,,5034,1840002607
Windsor,Windsor,43.2165,-89.3393,United States,US,USA,Wisconsin,,6785,1840006867
Howard,Howard,44.5703,-88.0924,United States,US,USA,Wisconsin,,19410,1840002345
Burlington,Burlington,42.6748,-88.2724,United States,US,USA,Wisconsin,,23990,1840002491
Chippewa Falls,Chippewa Falls,44.9358,-91.3903,United States,US,USA,Wisconsin,,14084,1840002108
Waupaca,Waupaca,44.3508,-89.0719,United States,US,USA,Wisconsin,,7598,1840002353
Lake Geneva,Lake Geneva,42.5825,-88.4283,United States,US,USA,Wisconsin,,14974,1840002479
Fitchburg,Fitchburg,42.9859,-89.4255,United States,US,USA,Wisconsin,,28875,1840002905
Merrill,Merrill,45.1818,-89.7005,United States,US,USA,Wisconsin,,9818,1840001562
Monona,Monona,43.054,-89.3334,United States,US,USA,Wisconsin,,8179,1840002920
Beaver Dam,Beaver Dam,43.4687,-88.8312,United States,US,USA,Wisconsin,,18121,1840002738
Little Chute,Little Chute,44.2889,-88.3184,United States,US,USA,Wisconsin,,11250,1840002408
Baldwin,Baldwin,44.9543,-92.3708,United States,US,USA,Wisconsin,,5856,1840002136
Mount Pleasant,Mount Pleasant,42.7129,-87.8875,United States,US,USA,Wisconsin,,26360,1840038102
Shorewood,Shorewood,43.0913,-87.8863,United States,US,USA,Wisconsin,,13368,1840003031
Columbus,Columbus,43.3354,-89.0299,United States,US,USA,Wisconsin,,6674,1840002708
Beloit,Beloit,42.523,-89.0184,United States,US,USA,Wisconsin,,63470,1840002471
Greenfield,Greenfield,42.9619,-88.005,United States,US,USA,Wisconsin,,36858,1840003039
Greendale,Greendale,42.9371,-88.0019,United States,US,USA,Wisconsin,,14211,1840003038
Suamico,Suamico,44.6352,-88.0664,United States,US,USA,Wisconsin,,12588,1840000309
Pewaukee,Pewaukee,43.0853,-88.2523,United States,US,USA,Wisconsin,,8176,1840003030
Fond du Lac,Fond du Lac,43.7719,-88.4396,United States,US,USA,Wisconsin,,54811,1840002603
